#{"t_start": 1626768021.9418232, "env_id": "jtr-modelless-v1"}
r,l,t
896.666667,62,770.656843
898.333333,61,772.278827
898.333333,61,773.895838
901.666667,59,775.511546
900.0,60,777.121911
424.711017,74,778.855818
492.856203,75,781.755061
530.17419,75,783.475449
499.645234,75,785.19011
510.921041,75,786.906239
437.716004,75,788.624836
536.646023,75,790.344303
905.0,57,791.927611
900.0,60,793.540623
71.559816,34,794.959383
513.544338,75,796.671866
6.139863,29,796.881742
520.702014,75,799.777974
527.610754,75,801.49574
509.761048,75,803.218626
523.695012,75,804.94251
437.201632,75,806.658551
521.646761,75,808.373487
514.06209,75,811.261014
900.0,60,812.869258
456.505,75,814.591424
531.222271,75,816.30722
466.272935,75,818.023724
422.305347,70,819.709809
432.628797,58,821.316216
900.0,60,822.930528
480.137263,75,824.658586
500.535591,75,826.377328
477.244555,75,828.112478
896.666667,62,829.740568
429.624472,75,832.64656
509.328009,75,834.369689
534.646606,75,836.093916
896.666667,62,837.722212
506.385871,75,839.446366
898.333333,61,841.074756
900.0,60,842.68862
507.306771,75,844.418636
517.343961,75,846.144608
260.309093,49,847.679596
527.542768,75,849.405556
-310.381803,38,850.864133
463.288707,75,852.598719
466.830446,75,854.323347
886.666667,68,856.001135
903.333333,58,860.197031
530.49273,75,861.921773
486.064787,75,864.840643
898.333333,61,865.282498
903.333333,58,866.887389
472.108733,75,869.801667
520.302145,75,871.528178
900.0,60,873.143398
918.333333,49,873.508266
336.477264,54,875.081984
538.751818,75,876.810188
468.000607,75,879.738153
896.666667,62,881.380678
533.038601,75,883.117583
499.998531,75,884.842828
522.418827,75,886.572195
913.333333,52,888.131065
488.977173,75,889.857986
448.83113,66,891.521857
436.42188,63,893.163225
369.303894,53,894.737743
898.333333,61,896.356375
903.333333,58,897.95708
461.121891,66,899.612705
467.316072,75,901.340458
526.916696,75,903.069293
443.029205,75,904.802871
520.502614,75,907.714676
488.966859,75,909.442098
898.333333,61,911.068328
898.333333,61,912.697286
416.335976,75,914.428591
530.397293,75,916.157446
-32.617976,26,916.34562
512.698656,75,919.262984
474.478551,75,920.993089
900.0,60,922.61022
467.346668,75,924.335868
522.822677,75,926.062448
479.025682,75,927.793724
478.699631,75,929.520236
