#{"t_start": 1626279733.2108138, "env_id": "jtr-v1"}
r,l,t
333.556183,27,33117.615099
276.237152,25,33144.882127
240.731316,20,33170.228922
264.567634,22,33194.58357
352.818948,26,33222.931369
272.338184,21,33245.754842
241.536085,20,33270.839864
306.013874,24,33297.627254
625.930381,44,33345.796885
245.303595,20,33367.48983
254.638832,21,33394.318974
312.031658,25,33421.82244
250.258759,21,33444.727648
384.529635,33,33484.184616
236.999081,22,33508.87954
674.460337,50,33563.357797
272.455612,25,33594.436802
290.773782,23,33619.848356
266.963748,22,33643.941534
267.938627,22,33667.782992
274.952299,25,33698.809658
251.755455,22,33723.270224
560.746356,42,33769.01973
257.296904,21,33795.585777
397.666619,32,33830.717912
257.369462,22,33854.885851
305.120775,23,33880.101177
273.186593,23,33909.028394
256.533278,21,33932.069267
237.313949,19,33953.101687
279.068727,23,33978.112624
331.051132,23,34007.127255
260.40784,22,34031.371995
254.78331,21,34054.633836
391.520789,31,34091.866968
237.827004,20,34114.231511
237.930743,20,34136.129481
257.299145,22,34159.782274
322.08581,25,34186.635502
289.100526,24,34216.482257
327.108542,25,34244.382989
328.833186,27,34273.545851
570.1115,43,34323.933167
321.362815,25,34351.330183
247.948257,20,34373.151659
334.349814,26,34404.658246
256.450369,22,34429.165519
254.819633,22,34453.222792
268.421648,23,34478.125834
277.826128,22,34505.266355
270.60965,21,34528.455794
213.585439,20,34550.139432
261.393365,22,34574.083406
257.518464,22,34601.315552
252.661759,21,34624.656021
255.157315,22,34648.423487
272.976353,22,34672.589047
267.231129,22,34709.56938
257.855172,21,34745.808105
251.995419,21,34781.674447
246.501985,20,34816.37833
234.067209,20,34845.906558
314.205249,25,34888.929842
261.323867,22,34926.484838
332.21238,27,34968.19633
251.175091,20,35001.81352
362.404043,28,35048.804187
248.409994,22,35085.545616
242.11256,20,35116.792524
268.022419,22,35140.765608
269.128994,23,35169.946569
764.39637,54,35372.66221
623.469164,46,35423.487725
521.194565,33,35463.445115
559.591899,40,35508.138047
